U:0,U:1,U:2,p,Points:0,Points:1,Points:2
0.178007,1.11965e-07,-2.69047e-12,13.2578,0.00288204,0.0002,4e-05
0.178008,8.95378e-08,-2.34276e-12,13.2483,0.00289279,0.0002,4e-05
0.17801,1.29977e-07,-2.73767e-12,13.2389,0.00290355,0.0002,4e-05
0.178012,1.52348e-07,-3.32597e-12,13.2294,0.0029143,0.0002,4e-05
0.178014,1.29283e-07,-3.95535e-12,13.22,0.00292505,0.0002,4e-05
0.178016,2.26943e-07,-6.05191e-12,13.2106,0.00293581,0.0002,4e-05
0.178019,1.96151e-07,-8.34389e-12,13.2011,0.00294656,0.0002,4e-05
0.178022,2.48097e-07,-1.02686e-11,13.1917,0.00295732,0.0002,4e-05
0.178026,3.45089e-07,-1.19019e-11,13.1822,0.00296807,0.0002,4e-05
0.17803,2.52922e-07,-1.3849e-11,13.1728,0.00297882,0.0002,4e-05
0.178035,4.97003e-07,-1.52975e-11,13.1633,0.00298958,0.0002,4e-05
0.178041,4.3336e-07,-1.72021e-11,13.1539,0.00300033,0.0002,4e-05
0.178049,5.97886e-07,-1.94564e-11,13.1444,0.00301108,0.0002,4e-05
0.178058,7.68786e-07,-2.22643e-11,13.135,0.00302184,0.0002,4e-05
0.178068,7.47033e-07,-2.59304e-11,13.1255,0.00303259,0.0002,4e-05
0.178082,1.24713e-06,-3.06625e-11,13.1161,0.00304335,0.0002,4e-05
0.178096,9.14708e-07,-3.64445e-11,13.1067,0.0030541,0.0002,4e-05
0.178116,1.91103e-06,-4.36328e-11,13.0972,0.00306485,0.0002,4e-05
0.178136,1.58722e-06,-5.28098e-11,13.0878,0.00307561,0.0002,4e-05
0.178164,2.44106e-06,-6.35371e-11,13.0783,0.00308636,0.0002,4e-05
0.178193,1.62754e-06,-7.71661e-11,13.0689,0.00309712,0.0002,4e-05
0.178234,1.50949e-06,-9.78391e-11,13.0594,0.00310787,0.0002,4e-05
0.178276,-1.05186e-06,-1.18015e-10,13.0499,0.00311862,0.0002,4e-05
0.178334,-6.46299e-07,-1.34008e-10,13.0405,0.00312938,0.0002,4e-05
0.178396,-2.75404e-06,-1.30288e-10,13.0311,0.00314013,0.0002,4e-05
0.178475,-1.89771e-06,-9.05847e-11,13.0216,0.00315088,0.0002,4e-05
0.178569,-6.28394e-07,-3.69144e-11,13.0121,0.00316164,0.0002,4e-05
0.17868,-4.18109e-07,-1.12634e-11,13.0026,0.00317239,0.0002,4e-05
0.178814,1.46549e-07,-3.46133e-11,12.9931,0.00318315,0.0002,4e-05
0.178976,1.03822e-06,-7.12032e-11,12.9836,0.0031939,0.0002,4e-05
0.179169,2.2284e-06,-8.54559e-11,12.9741,0.00320465,0.0002,4e-05
0.179399,1.40982e-06,-8.35624e-11,12.9645,0.00321541,0.0002,4e-05
0.17968,2.7953e-06,-8.66288e-11,12.9549,0.00322616,0.0002,4e-05
0.180014,2.45742e-06,-7.68964e-11,12.9454,0.00323692,0.0002,4e-05
0.180416,2.62822e-06,-7.57564e-11,12.9357,0.00324767,0.0002,4e-05
0.180899,3.18932e-06,-7.98162e-11,12.9261,0.00325842,0.0002,4e-05
0.181478,3.38669e-06,-7.82948e-11,12.9164,0.00326918,0.0002,4e-05
0.182179,3.09792e-06,-7.6239e-11,12.9066,0.00327993,0.0002,4e-05
0.183019,4.05635e-06,-7.59865e-11,12.8968,0.00329069,0.0002,4e-05
0.18403,3.95087e-06,-5.4337e-11,12.887,0.00330144,0.0002,4e-05
0.185225,5.0706e-06,-4.36813e-11,12.8771,0.00331219,0.0002,4e-05
0.18671,6.81495e-06,-4.20695e-11,12.8669,0.00332295,0.0002,4e-05
0.188481,8.83192e-06,-2.46823e-11,12.8567,0.0033337,0.0002,4e-05
0.190614,1.06034e-05,-5.29332e-12,12.8464,0.00334445,0.0002,4e-05
0.193178,1.2301e-05,2.21596e-12,12.8358,0.00335521,0.0002,4e-05
0.196257,1.3748e-05,1.36938e-11,12.8251,0.00336596,0.0002,4e-05
0.199953,1.46503e-05,7.05798e-11,12.814,0.00337672,0.0002,4e-05
0.204388,1.63623e-05,5.30093e-11,12.8026,0.00338747,0.0002,4e-05
0.209752,2.85895e-05,-5.0753e-11,12.7908,0.00339822,0.0002,4e-05
0.21618,3.12313e-05,-8.99669e-11,12.7785,0.00340898,0.0002,4e-05
0.223872,3.25325e-05,-1.00825e-10,12.7656,0.00341973,0.0002,4e-05
0.23306,3.15869e-05,-1.28473e-10,12.7519,0.00343049,0.0002,4e-05
0.244013,2.7217e-05,-1.81369e-10,12.7373,0.00344124,0.0002,4e-05
0.257072,3.28811e-05,-3.39587e-10,12.7215,0.00345199,0.0002,4e-05
0.272662,7.35291e-05,-5.14016e-10,12.7043,0.00346275,0.0002,4e-05
0.29109,7.63744e-05,-7.00527e-10,12.6854,0.0034735,0.0002,4e-05
